A:
to: 10.0.0.1 | src: 10.0.0.1 | hop: 10.0.0.1 | cost: 0
to: 10.0.0.1 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 0
to: 10.0.0.1 | src: 10.0.2.1 | hop: 10.0.0.1 | cost: 0
to: 10.0.1.1 | src: 10.0.1.1 | hop: 10.0.1.1 | cost: 0
to: 10.0.1.1 | src: 10.0.0.1 | hop: 10.0.1.1 | cost: 0
to: 10.0.1.1 | src: 10.0.2.1 | hop: 10.0.1.1 | cost: 0
to: 10.0.2.1 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 0
to: 10.0.2.1 | src: 10.0.1.1 | hop: 10.0.2.1 | cost: 0
to: 10.0.2.1 | src: 10.0.2.1 | hop: 10.0.2.1 | cost: 0
to: 10.0.0.2 | src: 10.0.0.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.0.2 | src: 10.0.1.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.0.2 | src: 10.0.2.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.2.2 | src: 10.0.2.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.2.2 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.2.2 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.3.1 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.3.1 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.3.1 | src: 10.0.2.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.4.1 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.4.1 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.4.1 | src: 10.0.2.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.5.1 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.5.1 | src: 10.0.2.1 | hop: 10.0.0.1 | cost: 1
